name,prompt,negative_prompt
____My styles____,,
mj img2img 151922 +25,"(foggy background, epic realistic, rutkowski, hdr, intricate details, hyperdetailed, cinematic, rim light, muted colors:1.2)",
Default negative +0 +54,,"(deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation"
____Not my styles____,,
Anime +8,"(anime), (illustration), cartoon, detailed, {prompt}",
Illustration +10,"illustration, cartoon, soothing tones, calm colors, {prompt}",
Retro futuristic +6,"{prompt}, art by angus mckie",
Caricature +18,"big head, big eyes, caricature, a caricature, digital rendering, (figurativism:0.8)",
Paper-cut +10,"(paper-cut craft:1.2), {prompt}, amazing body, detailed",
3d (render) 👎 +18,"eevee, 3d, render, 3 point light, (glossy:0.76), ambient occlusion",
3d (render) 👍 +16,"epic realistic, hyperdetailed, (cycles render:1.3), caustics, (glossy:0.58), (artstation:0.82)",
3d (movie) +20,"epic realistic, pixar style, disney, (cycles render:1.3), caustics, (glossy:0.58), (artstation:0.2), cute",
8bit +13,"pixel art, 8bit, aliasing, contrast, complex stuff","fabric, realistic, material, grain, grainy"
Logo +15,"(logo:1.3), vector graphics, brand, design, inspired, (straight:1.3), (symmetrical:0.4)",
Logo (minimalistic) +29,"art by keith negley, (logo:1.3), vector graphics, design, (straight:1.3), (symmetrical:0.4), by keith negley, [[jean arp]], minimalistic",
Engraving +12,"(grayscale, woodcut:1.2), (etching:1.1), (engraving:0.2), {prompt}, detailed",colored
Comic book +11,"comic style, illustration, cartoon, {prompt}, [[by phil jimenez]]",bw {prompt}
Cinematic +35,"(cinematic look:1.4), soothing tones, insane details, intricate details, hyperdetailed, low contrast, soft cinematic light, dim colors, exposure blend, hdr, faded, slate gray atmosphere","grayscale, black and white, bw, {prompt}, monochrome"
Cinematic (horror) +23,"slate atmosphere, cinematic, dimmed colors, dark shot, muted colors, film grainy, lut, spooky",
Cinematic (art) +31,"art by greg rutkowski and artgerm, soft cinematic light, adobe lightroom, photolab, hdr, intricate, highly detailed, (depth of field:1.4)",
Gloomy +33,"complex background, stuff in the background, highly detailed, (gloomy:1.3), dark, dimmed, hdr, vignette, grimy, (slate atmosphere:0.8), (by ben templesmith:0.2)","(depth of field:1.3), (bokeh:1.2), (blur), blurred, pink"
Professional photo +50,"(dark shot:1.4), 80mm, {prompt}, soft light, sharp, exposure blend, medium shot, bokeh, (hdr:1.4), high contrast, (cinematic, teal and orange:0.85), (muted colors, dim colors, soothing tones:1.3), low saturation, (hyperdetailed:1.2), (noir:0.4)","neon, {prompt}, over saturated"
Painting (3d) +48,"rutkowski, intricate digital art, soothing tones, (cartoon:0.3), (art:1.4), epic realistic, faded, neutral colors, (hdr:1.4), (muted colors:1.4), (intricate), (artstation:1.99), dramatic, intricate details, (technicolor:0.9), detailed, intricate, cinematic, detailed",
Painting (vivid) +11,"(pascal campion:0.38), vivid colors, (painting art:0.06), [eclectic:clear:0.8]","vignette, cinematic, grayscale, bokeh, blurred, depth of field"
Midjourney (warm) +41,"epic realistic, {prompt}, faded, (neutral colors:1.2), art, (hdr:1.5), (muted colors:1.1), (pastel:0.2), hyperdetailed, (artstation:1.4), warm lights, dramatic light, (intricate details:1.2), vignette, complex background, rutkowski",
Midjourney +43,"(dark shot:1.1), epic realistic, {prompt}, faded, (neutral colors:1.2), (hdr:1.4), (muted colors:1.2), hyperdetailed, (artstation:1.4), cinematic, warm lights, dramatic light, (intricate details:1.1), complex background, (rutkowski:0.66), (teal and orange:0.4)",
+ Details +7,"(intricate details:0.9), (hdr, hyperdetailed:1.2)",
+ Natural Skin +11,"(natural skin texture, hyperrealism, soft light, sharp)","(cgi:0.9), {prompt}, 3d, illustration, cartoon, (doll:0.9)"

